Year,Artist,Album
1993,Apache Indian,Badd Indian
1993,Arthur Tracy,So Do I
1993,Arthur Tracy,Red Sails In The Sunset
1993,Arthur Tracy,A Sailboat In The Moonlight
1993,Beherit,Werewolf_ Semen And Blood
1993,Beherit,Lord of Shadows and Golden Wood
1993,Bill Douglas,Sapphire
1993,Bob Willis,Ida Red
1993,Buju Banton,Searching
1993,Butthole Surfers,Tongue
1993,Captain Hollywood Project,All I Want
1993,Carl Smith,Hey Joe
1993,Carl Smith,Hey Joe
1993,Carl Smith,Hey Joe
1993,Cocoa Tea,Getting Closer
1993,D.R.S.,Gangsta Lean (Gangstapella)
1993,DAVE MATTHEWS BAND,Tripping Billies
1993,Devo,Be Stiff (Live)
1993,Diamanda Galas,Vena Cava 8
1993,Disembowelment,Your Prophetic Throne Of Ivory
1993,Dolores Keane,Telling Me Lies
1993,Dolores Keane,Storm In My Heart
1993,Eberhard Weber,Unfinished Self-Portrait
1993,Elmore James,Strange Kinda Feeling (Take 4)
1993,Eric Champion,Why Do We Do?
1993,Erick Sermon,Intro
1993,Erick Sermon,Safe Sex
1993,Erick Sermon,Stay Real
1993,Erick Sermon,Erick Sermon
1993,Extrabreit,Für mich soll's rote Rosen regnen
1993,Ghorwane,Matarlatanta
1993,Glad,Immortal_ Invisible
1993,Glad,Blessed Assurance
1993,Glad,This is My Father's World/For the Beauty of the Earth
1993,Grant Geissman,Silent Movies (Album Version)
1993,Grant Geissman,Chaco (Album Version)
1993,Hall & Oates,Perkiomen
1993,Isabel Pantoja,Porque Me Gusta A Morir
1993,Jackie Wilson,One Moment With You
1993,James Ingram,A Baby's Born
1993,Janet Jackson,Again
1993,Janet Jackson,Hold On Baby
1993,Janet Jackson,Again (Instrumental)
1993,Janitor Joe,Boyfriend
1993,Janitor Joe,Voucher
1993,Jesus Jones,Yellow Brown
1993,K.T. Oslin,Come Next Monday
1993,Kaija Koo,Tule lähemmäs Beibi
1993,Kaija Koo,Viimeinen lento
1993,Kenny Rogers,Reuben James
1993,Kitaro,Trong Com
1993,Kitaro,Village Attack/ The Arrest
1993,Leaders Of The New School,The End Is Near (LP Version)
1993,Leaders Of The New School,Zearocks (LP Version)
1993,Lords Of The Underground,Check It (Explicit)
1993,Los Del Rio,Macarena
1993,Los Del Rio,Macarena
1993,Los Fabulosos Cadillacs,Matador
1993,Los Fabulosos Cadillacs,Manuel Santillán_ El León (Versión Reggae)
1993,Love Jones,I Like Young Girls
1993,Love Jones,Matter Of Fact
1993,Malkit Singh,Hai Shava
1993,Malkit Singh,Dhol Ton Bina
1993,Mance Lipscomb,So Different Blues
1993,Margaret Becker,Sweet Suffering Christ
1993,Mariah Carey,Anytime You Need A Friend
1993,Martina McBride,Heart Trouble
1993,Mary Black,Flesh And Blood
1993,Max Steiner,Presenting The Eight Wonder Of The World
1993,Max Steiner,The Scarifice Ceremony
1993,Michael Gettel,Turning Of A Key
1993,Mudhoney,Between Me & You Kid (Album Version)
1993,Naughty By Nature,The Hood Comes First (LP Version)
1993,Nick Cave & The Bad Seeds,New Morning (Live)
1993,Paul Rogers,The Hunter
1993,Phil Collins,Please Come Out Tonight
1993,Phil Collins,Everyday
1993,Professor Longhair,No Buts - No Maybes
1993,RUN-DMC,Can I Get A Witness
1993,Radiohead,Vegetable (Live)
1993,Radiohead,Stop Whispering (US Version)
1993,Randy Travis,Down At The Old Corral (Album Version)
1993,Randy Travis,Wind In The Wire (Album Version)
1993,Regina Belle,Quiet Time
1993,Regina Belle,Quiet Time
1993,Rick Astley,Hopelessly
1993,Rodney O & Joe Cooley,U Don't Hear Me Tho' (Street Mix)
1993,S.U.P,4tx.31b
1993,Saigon Kick,The Way
1993,Semisonic,If I Run
1993,Sleepy John Estes,Need More Blues
1993,Slim Harpo,I Love The Life I'm Living
1993,Slim Whitman,Cattle Call
1993,Tam Tam Go!,Belleza Pasajera
1993,Tam Tam Go!,En La Tierra Caliente
1993,Tha Alkaholiks,Only When I'm Drunk
1993,The Clancy Brothers,Water Is Alright In Tay
1993,The Germs,Going Down
1993,The Pharcyde,Passin' Me By
1993,The Smashing Pumpkins,Rocket
1993,Tito Puente,Mambo Tipico
1993,Tito Puente,Mambo Suavecito
1993,Toni Braxton,Best Friend
1993,Tony Joe White,The Coloness Of The Chain
1993,U.K. Subs,Warhead (Live in Croatia_ 1993)
1993,U.K. Subs,Fear of Girls (Live in Croatia_ 1993)
1993,Urge Overkill,Crackbabies
1993,Vilma Palma e Vampiros,Verano traidor
1993,Vilma Palma e Vampiros,Te quiero tanto
1993,Wendo Kolosoy,Marie Marie
1993,William Orbit,Harry Flowers
1993,William Orbit,The Monkey King
1993,William Orbit,Deus Ex Machina
1993,Zbigniew Preisner,Colin Tries Standing
1993,Zbigniew Preisner,Leaving The Docks
1993,ÄI-TIEM,All das mag ich
1993,ÄI-TIEM,Kleina Wixa
1994,2 Minutos,Vos No Confiaste
1994,2 Minutos,Como Caramelo De Limón
1994,2 Minutos,14 Botellas
1994,4Him,Wings
1994,5th Ward Boyz,Ghetto Curse Words (Chopped&Screwed)
1994,Ai Ai Ai,Com Una Flama
1994,Alternative TV,Lemons_ For Kevin
1994,Amorphis,Into Hiding
1994,Andreas Dorau,Das Telefon sagt Du
1994,Bad Religion,Infected
1994,Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd,Don't Sit Under The Apple Tree
1994,Basic Channel,Phylyps Trak II/II
1994,Basic Channel,Radiance I
1994,Beastie Boys,Get It Together
1994,Beastie Boys,Eugene's Lament
1994,Bob Carlisle,Man Of No Reputation
1994,Boyz II Men,On Bended Knee
1994,Bryan Ferry,Don't Want To Know (1999 Digital Remaster)
1994,Bryan Ferry,Wildcat Days (1999 Digital Remaster)
1994,Cheri Keaggy,The Cross That Bears His Name
1994,Claude François,Le chanteur malheureux
1994,Count Ossie,No Night In Zion - Original
1994,Cradle Of Filth,Summer Dying Fast
1994,Dave Weckl,Just An Illusion
1994,Dinosaur Jr,On The Brink
1994,Eddie Cantor,When My Ship Comes In
1994,FU-Schnickens,Visions (20/20)
1994,Faron Young,I'll Be Yours
1994,Flora Purim,Above The Rainbow
1994,Flora Purim,Latinas
1994,Flora Purim,Tomara (I Wish)
1994,GWAR,Slap U Around
1994,Gang Starr,The Planet (Explicit)
1994,Gang Starr,Mostly Tha Voice (Explicit)
1994,Gene Chandler,Festival Of Love
1994,Gold City,It Came Upon The Midnight Clear
1994,Harry Connick_ Jr.,Here Comes The Big Parade
1994,Helen Love,So Hot
1994,Helen Love,Rollercoasting
1994,Helmet,Street Crab
1994,Helmet,Tic
1994,Inspiral Carpets,Party In The Sky
1994,Jack Off Jill,Yellow Brick Road
1994,Jim Chappell,In The Hills
1994,Jim Reeves,I'd Like To Be
1994,Jimi Hendrix,Voodoo Chile Blues
1994,Jimmie Vaughan,Don't Cha Know
1994,Joshua Rifkin,Fig Leaf Rag  (LP Version)
1994,Joshua Rifkin,Paragon Rag  (LP Version)
1994,Jude Taylor & His Burning Flames,The Thrill Is Gone
1994,Juice Leskinen,Marilyn
1994,Julien Clerc,Ma Préférence (Live)
1994,Junior Reid,No Loafting
1994,Kathy Troccoli,Never My Love
1994,Keb'Mo',Anybody Seen My Girl
1994,L7,Baggage
1994,Lady Saw,Bare As You Dare
1994,Lady Saw,To Sir With Love
1994,Lara Fabian,Ramène Moi
1994,Lennie Tristano,Becoming (LP Version)
1994,Line Renaud,Cent Mille Guitares
1994,Line Renaud,Il Y A Des Anges
1994,Line Renaud,Gwendolina
1994,Line Renaud,Mambo Bacan
1994,Little Milton,Lookin' for My Baby
1994,Loretta Lynn,I Can't Feel You Anymore
1994,Loudon Wainwright III,How Old Are You
1994,Luis Alberto Spinetta,Oh! Doctor
1994,Luis Alberto Spinetta,Verde Bosque
1994,Madonna,Bedtime Story (Album Version)
1994,Mau Mau,Balon Combo
1994,Montserrat Caballé,The Phantom Of The Opera/Wishing You Were Somehow Here Again
1994,NOFX,My Heart Is Yearning
1994,Nick Cave & The Bad Seeds,Loverman
1994,Nine Inch Nails,Memorabilia
1994,Orbital,Are We Here ?
1994,Orbital,Forever
1994,OutKast,Call Of Da Wild
1994,Pascal Obispo,Chlore
1994,Patience Dabany,Abagui Alobi
1994,Pierre Perret,Le poulet
1994,Pierre Perret,Marcel
1994,Pierre Perret,L'idole des femmes
1994,R. Carlos Nakai,Red Wind (World)
1994,Rauni Pekkala,Miesten tähden
1994,SKYCLAD,The One Piece Puzzle
1994,SNAP!,The World In My Hands (We Are One)
1994,Sandra Mihanovich,Cuatro Estrofas
1994,Shaggy,Alimony
1994,Sick Of It All,Consume (LP Version)
1994,Sierra Maestra,No Me Llores Más
1994,Sister Hazel,Space Between Us (Album Version)
1994,Sonic Subjunkies,Djungelstadt
1994,Sonny Terry,My Baby Likes To Shuffle
1994,Sophie B. Hawkins,Did We Not Choose Each Other
1994,Sophie B. Hawkins,The Ballad Of Sleeping Beauty
1994,Stevie Ray Vaughan And Double Trouble,The House Is Rockin'
1994,Sunnyland Slim,Midnight Jump
1994,The Black Crowes,Ballad In Urgency
1994,The Black Crowes,Nonfiction
1994,The Cardigans,Rise & Shine
1994,The Exciters,Reaching For The Best
1994,The Mighty Mighty Bosstones,Pictures To Prove It
1994,The Statler Brothers,White Christmas
1994,The Token,Come Dance With Me
1994,The Tokens,La Bamba
1994,The Tokens,Ill Always Love You
1994,Tom Petty,A Higher Place (Album Version)
1994,Tom Petty,Wildflowers (Album Version)
1994,Usher,I'll Show You Love
1994,Vanessa Daou,Smoke
1994,Virgil Moorefield,Healing Power
1994,Wet Wet Wet,Love Is All Around
1994,Zbigniew Preisner,Morning at the hotel
1994,Zbigniew Preisner,The Court
1995,4Him,You Are Holy
1995,A.Z.,We Can't Win (Explicit)
1995,Abraham Laboriel,Exchange
1995,Abraham Laboriel,Guidum
1995,Annie Lennox,A Whiter Shade Of Pale
1995,Arturo Sandoval,Waheera
1995,BB King,She Don't Move Me No More
1995,Bad Brains,God Of Love (Album Version)
1995,Bad Religion,Flat Earth Society (Album Version)
1995,Basic Channel,Q1.1 Edit
1995,Basic Channel,Q Loop
1995,Beherit,Sense
1995,Big Maybelle,Tell Me Who
1995,Billy Pilgrim,Caroline (LP Version)
1995,Bitty McLean,Over The River
1995,Blind Boy Fuller,Precious Lord
1995,Bobby Darin,(I Heard That) Lonesome Whistle
1995,Bon Jovi,This Ain't A Love Song
1995,Bounty Killer,Cellular Phone
1995,Brenda Lee,Everybody Loves Me But You
1995,Captain Hollywood Project,Find Another Way
1995,Captain Hollywood Project,The Way Love Is
1995,Chris Eaton,All Or Nothing
1995,"Clarence ""Gatemouth"" Brown",Someday My Luck Will Change
1995,Coco Montoya,Gotta Mind To Travel
1995,Colin James,Better Days
1995,Cracker,Shake Some Action
1995,Daft Punk,Da Funk
1995,Deep Blue Something,Gammer Gerten's Needle
1995,Dishwalla,Moisture
1995,Don & Juan,Are You Putting Me On The Shelf
1995,Ec8or,Cocain Ducks
1995,Eddy Raven,I WANNA HEAR IT FROM YOU
1995,Elakelaiset,Laakista humppa
1995,Eliane Elias,All The Things You Are
1995,Enrique Iglesias,Si Juras Regresar
1995,Faithless,Salva Mea
1995,Five Fingers of Funk,Posters
1995,Foo Fighters,X-Static
1995,For Squirrels,Superstar
1995,Francis Dunnery,Too Much Saturn
1995,Frank Stokes,Nehi Mamma Blues
1995,Fruko Y Sus Tesos,Tania
1995,Fuel,The Name Is...
1995,GWAR,Surf of Syn
1995,God Lives Underwater,Don't Know How To Be
1995,Grandpa Jones,Don't Look Back
1995,Grandpa Jones,Falling Leaves
1995,Hank Locklin,Let Me Be the One
1995,Helmet,Your Head
1995,Ini Kamoze,Here Comes The Hotstepper
1995,Ini Kamoze,Here Comes The Hotstepper
1995,J.B. Lenoir,I Feel So Good
1995,Jack Off Jill,Horrible
1995,Jerry Lewis,It All Depends On You
1995,Jerry Lewis,Shine On Your Shoes
1995,Judas Iscariot,Babylon
1995,Justo Almario,In Your Dreams
1995,K's Choice,A Sound That Only You Can Hear
1995,K's Choice,My Record Company
1995,Kaija Koo,Seuraavassa elämässä
1995,Kaija Koo,Viimeiset hitaat
1995,Kris Kristofferson,Killer Barracuda
1995,Less Than Jake,Fucked
1995,Liam O'Flynn,Romeo's Exile
1995,Lighthouse Family,Ocean Drive
1995,Little Milton,Little Bluebird
1995,Loudon Wainwright III,Human Cannonball
1995,Marc Lavoine,Si Tu Veux Le Savoir
1995,Marilyn Scott,Take Me With You
1995,Masta Ace Incorporated,Ain't No Game
1995,Maurane,Manies Manigances
1995,Maurane,Juste Une Petite Fille
1995,Memphis La Blusera,La Revolución
1995,Memphis Minnie,Nothing In Rambling
1995,Michael Jackson,HISTORY
1995,Michael Jackson,Tabloid Junkie
1995,Miossec,Que Devient Ton Poing Quand Tu Tends Les Doigts
1995,Miossec,Regarde Un Peu La France
1995,Mobb Deep,(The Grave Prelude)
1995,Mobb Deep,Up North Trip
1995,Mongo Santamaria,Hush
1995,Mongo Santamaria Orchestra,Federico
1995,Moonspell,Alma Mater
1995,Mungo Jerry,It's A Secret
1995,MxPx,You Found Me
1995,MxPx,Drum Machine Joy
1995,Neil Innes,Come Out Into The Open
1995,Ol' Dirty Bastard,Hippa To Da Hoppa [Explicit Version]
1995,Otis Spann,No More Doggin'
1995,Otis Spann,Someday Baby
1995,Out Of The Grey,Dreaming Of April
1995,Patsy Cline,I Cried All The Way To The Altar
1995,Pedro Aznar,Amor De Juventud
1995,Pedro Aznar,Stand
1995,Primordial,Here I Am King
1995,Radiohead,Bullet Proof ... I Wish I Was (Acoustic)
1995,Regina Belle,You Are Everything
1995,Rodney O & Joe Cooley,Supercuts
1995,Rodney O_ Joe Cooley,Let's Have Some Fun
1995,Screamin' Jay Hawkins,Talk About Me
1995,Sergio Dalma,La Marca De Tus Labios
1995,Sergio Dalma,Un Cachito De Ti
1995,Shakira,Pienso En Ti
1995,Shakira,Estoy Aquí
1995,Shamen,Transamazonia (Deep Dish No Doze Mix)
1995,Shania Twain,Raining On Our Love
1995,Silverchair,Suicidal Dream
1995,Silverchair,Cicada
1995,Simply Red,Fairground (+ Sample)
1995,Skeeter Davis,Am I That Easy To Forget
1995,Sonic Subjunkies,Turntable Terrorist
1995,Steve Riley & The Mamou Playboys,Between Eunice & Opelousas
1995,Steve Riley & The Mamou Playboys,Katherine
1995,Sunscreem,Exodus
1995,Suzi Quatro,Born To Run
1995,Swans Of Avon,When Heaven Falls
1995,Terror Fabulous,Position
1995,The Brooklyn Tabernacle Choir,Everything I Desire
1995,The Brooklyn Tabernacle Choir,Lead Me Lord
1995,The Brooklyn Tabernacle Choir,All That You Need
1995,The Bucketheads,Sayin' Dope
1995,The Bucketheads,Little Louie Bonus
1995,The Crystal Method,Keep Hope Alive
1995,The Gone Jackals,Not Buried Deep Enough
1995,The Gone Jackals,Drop The Hammer
1995,The Highwaymen,The Road Goes On Forever
1995,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,The Hustle
1995,The Roches,Christlike Roche
1995,The Smashing Pumpkins,Rotten Apples
1995,Tresenlesen,Rülpsen Sie Eine Hauptstadt
1995,Ultraviolence,Murder Academy
1995,Vilma E Vampiros Palma,Se Puede Salir
1995,Virgil Moorefield,Get Moose and Squirrel
1995,Zumpano,Wraparound Shades (Album)
1996,5 Blind Boys Of Alabama,If You Don't Pray For Me
1996,A Tribe Called Quest,Get A Hold
1996,Bad Brains,At The Atlantis
1996,Barenaked Ladies,This Is Where It Ends (Album Version)
1996,Belle and Sebastian,Like Dylan In The Movies
1996,Belle and Sebastian,I Could Be Dreaming
1996,Bersuit Vergarabat,Bolivian Surf
1996,Bersuit Vergarabat,Bolero Militar
1996,Bert Kaempfert,Don't Go
1996,Bill Laswell,Digitaria
1996,Bizarre Inc,Miracle
1996,Blind Willie Johnson,If I Had My Way I'd Tear This Building Down
1996,Boards of Canada,Happy Cycling
1996,Bob Marley,Corner Stone
1996,Bobby Pulido,Mi Alma Esta Enamorada
1996,Bobby Pulido,La Rosa
1996,Butthole Surfers,Ulcer Breakout
1996,Chalk Farm,Lillie Anne
1996,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")"
1996,David Arkenstone,The Forgotten Lands
1996,Deville_ Willy,Loup Garou
1996,Dimmu Borgir,Master Of Disharmony
1996,Dimmu Borgir,Broderskapets ring
1996,Dream Warriors,Sound Clash
1996,Dream Warriors,Sound Clash (featuring Beenie Man) - FattaSly Extended Mix
1996,Elakelaiset,Humppa
1996,Elakelaiset,Pottajenkka
1996,Eric Champion,Dress Me Up
1996,Faithless,Drifting Away
1996,Francis Lai,13 jours en France
1996,Fun Lovin' Criminals,We Have All The Time In The World
1996,Geggy Tah,Gina
1996,Gene Autry,Frankie And Johnny
1996,George Faith,If Loving You Is Wrong I Don't Wanna Be Right
1996,Heaven 17,Resurrection Man
1996,Heaven 17,We Blame Love
1996,Helen Hobson,Merry-Go-Round
1996,Iggy And The Stooges,Raw Power
1996,Illya Kuryaki And The Valderramas,Ninja Mental
1996,Jeanie Lambe & The Danny Moss Quartet,My Funny Valentine
1996,John Frizzell,DEFCON 4
1996,Johnny Horton,Got The Bull By The Horns
1996,Johnny Horton,The Golden Rocket
1996,Keb' Mo',Dangerous Mood
1996,Kool Keith,Wanna Be A Star
1996,Korn,Proud
1996,Lady Saw,Love & Understanding
1996,Lambda,Hold On Tight
1996,Leningrad Cowboys,Ulan Bator Girls
1996,Less Than Jake,Automatic
1996,Love and Rockets,Sweet Lover Hangover
1996,Mae West,Little Bar Butterfly
1996,Martin Denny,Manila
1996,Martin Sexton,Caught In The Rain
1996,Michael Gettel,Wind And Water
1996,Michael Gettel,Safe Passage
1996,Michèle Arnaud,Ballade Des Oiseaux De Croix
1996,Mike Bloomfield,Junko partner
1996,Mindy McCready,Breakin' It
1996,Mindy McCready,Guys Do It All The Time
1996,Mindy McCready,Ten Thousand Angels
1996,Mobb Deep,Hell On Earth (Front Lines)
1996,Neil Diamond,Reminisce For A While (Sung With Raul Malo)
1996,Nick Cave & The Bad Seeds,Stagger Lee
1996,OutKast,Wailin'
1996,Patti Smith,Wing
1996,Patty Griffin,Moses
1996,Patty Griffin,Let Him Fly
1996,Phil Collins,Dance Into The Light (LP Version)
1996,Phil Collins,That's What You Said  (LP Version)
1996,Plasmatics,Lightning Breaks
1996,Randy Travis,Don't Take Your Love Away From Me (Album Version)
1996,Republica;Jonny Male;Dave Arch,Ready To Go
1996,SNAP!,Do You See The Light (Deep Ethno Mix)
1996,SNAP!,Mary Had A Little Boy (Maestro Mix)
1996,Screamin' Jay Hawkins,What's Gonna Happen On the 8th Day
1996,Shawn Colvin,Sunny Came Home
1996,Shelly Manne,Get Me To The Church On Time
1996,Solas,Lament for Frankie
1996,Soulwax,Soul Simplicity
1996,Soulwax,Kill Your Darlings
1996,Steve Vai,Brother
1996,Stevie Ray Vaughan And Double Trouble,Empty Arms
1996,Stevie Ray Vaughan And Double Trouble,Chitlins Con Carne
1996,Sunscreem,Secrets
1996,System of a Down,War?
1996,Tel Basta,I'm Poured Out Like Water
1996,The Baltimore Consort,The Beautiful Shepherdess of Arcadia
1996,The Black Crowes,Girl From A Pawnshop
1996,The Cardigans,Iron Man
1996,The Cat's Miaow,Autumn
1996,The Fabulous Thunderbirds,Please Don't Lie To Me
1996,The James Taylor Quartet,Creation
1996,The Misfits,She (1997 Digital Remaster)
1996,The Prodigy,Firestarter
1996,The Real Kids,Now You Know
1996,The Shamen,Heal (The Separation) [H.E.L.P Breakbeat]
1996,The Shamen,Heal (The Separation) [PM Dawn Alt. Lead Mix]
1996,The Sonics,Near My Soul
1996,The Tragically Hip,Ahead By A Century
1996,Tommy Castro,Sho' Enough
1996,Toots & The Maytals,It's You
1996,Tracy Byrd,Walking To Jerusalem
1996,Unwritten Law,Superman
1996,Vanessa Daou,Evening
1996,Vanessa Daou,For Anything
1996,Willy DeVille,Runnin' Through The Jungle - Shootin' The Blues
1996,Xzibit,Carry The Weight
1996,bel canto,Rumour (Abstract Hip Hop Mix)
1997,2 Minutos,1987
1997,3 Steps Ahead,My Mind Is Gone
1997,Alceu Valença,Na Primeira Manhã
1997,Amorphis,And I Hear You Call
1997,Andreas Dorau,So Ist Das Nun Mal
1997,Andreas Dorau,So ist das nun mal
1997,Angélica María,Una Sopita De Tu Propio Chocolate
1997,Arturo Sandoval,Luna de miel en Guama
1997,Arturo Sandoval,Almendra
1997,Atari Teenage Riot,Destroy 2000 Years Of Culture
1997,Atman,Govinda
1997,Atman,Lingan
1997,Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix)
1997,Badmarsh & Shri,Dancing Drums
1997,Bert Kaempfert,Happy Safari
1997,Bert Kaempfert,Sugar Bush
1997,Beth Nielsen Chapman,Fair Enough (LP Version)
1997,Blink-182,A New Hope
1997,Bob Dylan,Trying To Get To Heaven
1997,Buddy Miles,Midnight Rider
1997,Buddy Miles,Don't Keep Me Wondering
1997,Buju Banton,Destiny
1997,Camp Lo,Sparkle
1997,Capleton,Raggy Road
1997,Charlie Byrd,Speak Low
1997,Charlie Rich,Nice 'N' Easy
1997,Charlie Rich,You Don't Know Me
1997,Cockney Rejects,Easy Life (Live)
1997,Cockney Rejects,Oi! Oi! Oi!
1997,Cool For August,Don't Wanna Be Here (Album Version)
1997,Cornell Campbell,Got To Tell The People
1997,Dean Martin,Pennies From Heaven
1997,Deep Forest,Madazulu
1997,Deep Forest,Green And Blue
1997,Deftones,Lotion (LP Version)
1997,Diamond D,Intro
1997,Dobet Gnahoré,Kakou
1997,Dropkick Murphys,Skinhead on the MBTA (Album Version)
1997,EPMD,Jane 5
1997,EPMD / Nocturnal,Dungeon Master
1997,Eighteen Visions,Life's Blood
1997,Eric Burdon,Ghetto Child
1997,Far Too Jones,Use Me
1997,Fernando Ortega,Don't Let Me Come Home A Stranger (LP Version)
1997,Frederic Galliano,Nomades Monades
1997,GWAR,Let's Blame The Lightman
1997,Gary Moore,What Are We Here For
1997,Grey Area,All Time Low (Album Version)
1997,Hatebreed,Mark My Words (Album Version)
1997,Heavy D / McGruff,Wanna Be A Player
1997,Helen Love,Bubblegum
1997,Information Society,Empty
1997,Information Society,Seek 300
1997,J.J. Cale,Midnight In Memphis
1997,James Newton Howard,Voices
1997,Jazz Gillum,You're Laughing Now
1997,Jazz Gillum,Boar Hog Blues
1997,Jerry Goldsmith,The Keys
1997,Jim Chappell,Almost Us
1997,John Cale,Movement 4 [from Kiss] (Album Version)
1997,John Mayall & The Bluesbreakers,Looking Back
1997,John Mayall & The Bluesbreakers,Looking Back
1997,Junior Kimbrough,Meet Me in the City
1997,Junior Kimbrough,Lonesome Road
1997,Kool Keith,Don't Crush It
1997,Les Ogres De Barback,Femme du guerrier
1997,Letters To Cleo,Co-Pilot (Album Version)
1997,Lightnin' Slim,My Babe
1997,Lisa Lisa & Cult Jam,Something 'Bout Love
1997,Lonestar,Amie
1997,Los Auténticos Decadentes,El Gran Señor
1997,Los Auténticos Decadentes,El Chorro
1997,Los Indios Tabajaras,Sueño Salvaje
1997,Lost Boyz,Certain Things We Do
1997,Lost Boyz,What's Wrong
1997,Lost Boyz,Get Your Hustle On
1997,MU330,Cursed Again
1997,Mariah Carey,Honey
1997,Mariah Carey,Outside
1997,Mariah Carey Featuring Da Brat & JD,Honey
1997,Memphis Minnie,Pig Meat On The Line
1997,Mindy McCready,You'll Never Know
1997,Moonspell,Sacred
1997,Morgion,Basking Under a Blacksun Dawning
1997,Mötley Crüe,Afraid
1997,Nana Mouskouri,Only You
1997,Nightwish,Beauty And The Beast
1997,Nightwish,Lappi Pt IV Etiäinen
1997,Organized Konfusion,Hate
1997,Orquesta America,Boda de Oro
1997,Otis Spann,Can't Do Me No Good
1997,Pedro Luis e a Parede,In The Rain
1997,Pedro Luis e a Parede,Soul
1997,Photek,124
1997,Porcupine Tree,Waiting
1997,Porter Wagoner,Angel Band
1997,R.L. Burnside,Over The Hill
1997,Radiohead,Subterranean Homesick Alien
1997,Rakim,Outro
1997,Rakim,Skit
1997,Ricardo Lemvo,Yiri Yiri Bon
1997,Robben Ford,The Champ
1997,Roy Roberts,Let's Wrap Up
1997,Seven Mary Three,People Like New (LP Version)
1997,Shakira,Donde Estas Corazon
1997,Sick Of It All,Burn 'Em Down (LP Version)
1997,Sierra Maestra,¿Dónde va Chichi?
1997,Silverchair,The Door
1997,Silverchair,Roses
1997,Sister Hazel,Think About Me
1997,Sister Hazel,Cerilene
1997,Sister Hazel,Concede
1997,Sizzla,Princess Black
1997,Slum Village,Estimate
1997,Steel Pulse,Role Model
1997,Steel Pulse,House of Love
1997,Sylvester Weaver,Guitar Rag
1997,The Ataris,Make It Last
1997,The Cat's Miaow,Portland_ Oregon
1997,The Cat's Miaow,You Know It's True
1997,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,September Song
1997,The Crystal Method,More
1997,The Misfits,The Haunting
1997,The Misfits,Dig Up Her Bones
1997,Tom Cochrane,Paper Tigers (acoustic version)
1997,Twista,It Feels So Good (Album Version)
1997,Walter Trout,Obstacles in My Way
1997,Willie Bobo,Spanish Grease
1997,Winston Reedy,Daughter Of Zion
1997,Wyclef Jean,Guantanamera
1998,A Tribe Called Quest,Like It Like That
1998,A.Z.,Sosa (Explicit)
1998,Adam Ant,Mohair Locker Room Pin-Up Boys
1998,Alceu Valença,Cintura Fina
1998,Alejandro Lerner,Todo A Pulmón
1998,Alvin Youngblood Hart,Ouachita Run (Album Version)
1998,Anti-Flag,Tearing Everyone Down
1998,Astarte,Thorns of Charon (Pt. 2) - Emerge from Hades
1998,Astarte,Voyage to eternal Life
1998,Atman,All Is One
1998,Bad Azz,Tha Stand
1998,Bare Jr.,Naked Albino
1998,Bare Jr.,Tobacco Spit
1998,Bare Jr.,Snippet 15
1998,Bersuit Vergarabat,Se Viene
1998,Bersuit Vergarabat,De Onda
1998,Bill Engvall,T-Ball and Indian Guides (LP Version)
1998,Brigada Victor Jara,Parto em terras distantes
1998,Brigada Victor Jara,Parto em terras distantes (2.ª versão)
1998,Café Quijano,Poesía De Amor
1998,Cake,Alpha Beta Parking Lot
1998,Carl Crack,Dogon
1998,Carl Crack,Sonnenfreunde
1998,Cece Winans,Life
1998,Cece Winans,The Wind (Tears For You)
1998,Cece Winans,Come On Back Home
1998,Chango Spasiuk,Autores Anonimos
1998,Claw Hammer,Succotash
1998,Clay Crosse,I Surrender All
1998,Cobra Killer,Kick Jump - Part Jump
1998,Cracker,My Life Is Totally Boring Without You
1998,Creedence Clearwater Revisited,Proud mary
1998,Cybertribe,Cry Of The Earth
1998,DJ Clue / P. Diddy,Intro
1998,DJ Godfather,Intro
1998,DMX,Damien
1998,DMX,Look Thru My Eyes
1998,Daniel Johnston,Come To Me Tonight
1998,Danny Williams,The Wonderful World Of The Young
1998,Dave Eggar,Sorrow's Call
1998,Dave Eggar,Dream Of Ice
1998,David Summers,2.000 Kilometros
1998,Debbie Davies,Backseat Driver
1998,Debbie Davies,Little Sister
1998,Deborah Coleman,Nobody To Blame
1998,Del The Funky Homosapien,Why You Wanna Get Funky...
1998,Del The Funky Homosapien,Corner Story
1998,Diesel Boy,Cooler Than You
1998,Diesel Boy,Dragonfly
1998,Dixie Chicks,Give It Up Or Let Me Go
1998,Dntel,Termites in the Bathtub
1998,Dolly Parton,When Jesus Comes Calling For Me
1998,Dusminguet,Africa
1998,Dusminguet,Disco Jonki
1998,Eminem,Just Don't Give A Fuck
1998,Enrique Iglesias,Dicen Por Ahi
1998,Faith Hill,Better Days (Album Version)
1998,Faithless,Take The Long Way Home
1998,Five Fingers of Funk,Genuine
1998,Five Fingers of Funk,Let It Flow (Feat. Gauran-T and Freaky Frederali)
1998,Francisco Céspedes,Señora (bonus track)
